freq num average numcdf
551 3409 18390300.000 12387156
552 3430 18346500.000 12390586
553 3398 18309500.000 12393984
554 3344 18225800.000 12397328
555 3388 18226100.000 12400716
556 3341 18199100.000 12404057
557 3430 18172000.000 12407487
558 3416 18113400.000 12410903
559 3346 18156500.000 12414249
560 3219 18161400.000 12417468
561 3375 17979400.000 12420843
562 3289 17948300.000 12424132
563 3334 18080700.000 12427466
564 3252 17905600.000 12430718
565 3257 17953700.000 12433975
566 3240 17871800.000 12437215
567 3259 17927600.000 12440474
568 3246 17835400.000 12443720
569 3331 17793000.000 12447051
570 3144 17778900.000 12450195
571 3198 17812400.000 12453393
572 3326 17665200.000 12456719
573 3192 17638400.000 12459911
574 3294 17684500.000 12463205
575 3129 17642500.000 12466334
576 3245 17659100.000 12469579
577 3213 17631700.000 12472792
578 3151 17505500.000 12475943
579 3224 17582000.000 12479167
580 3093 17414100.000 12482260
581 3222 17463500.000 12485482
582 3123 17415700.000 12488605
583 3153 17372400.000 12491758
584 3169 17355000.000 12494927
585 3128 17296900.000 12498055
586 3029 17216700.000 12501084
587 3006 17248100.000 12504090
588 3067 17294600.000 12507157
589 3106 17154400.000 12510263
590 3082 17219600.000 12513345
591 3008 17232000.000 12516353
592 3053 17127700.000 12519406
593 3204 17083300.000 12522610
594 3068 17062500.000 12525678
595 3042 17066700.000 12528720
596 3112 17013200.000 12531832
597 3051 16957000.000 12534883
598 3035 16996200.000 12537918
599 3097 16999800.000 12541015
600 3121 16949900.000 12544136
601 3127 16884500.000 12547263
602 3090 16867800.000 12550353
603 3267 16922600.000 12553620
604 3225 16899100.000 12556845
605 3242 16821700.000 12560087
606 3257 16782700.000 12563344
607 3256 16739800.000 12566600
608 3353 16777200.000 12569953
609 3331 16770000.000 12573284
610 3422 16733900.000 12576706
611 3463 16742800.000 12580169
612 3483 16702200.000 12583652
613 3437 16703800.000 12587089
614 3422 16700400.000 12590511
615 3489 16674400.000 12594000
616 3536 16574400.000 12597536
617 3549 16585100.000 12601085
618 3601 16580500.000 12604686
619 3559 16599200.000 12608245
620 3603 16486700.000 12611848
621 3525 16509000.000 12615373
622 3508 16539500.000 12618881
623 3574 16391700.000 12622455
624 3443 16393700.000 12625898
625 3435 16436400.000 12629333
626 3538 16303600.000 12632871
627 3439 16289200.000 12636310
628 3342 16375100.000 12639652
629 3330 16287300.000 12642982
630 3201 16214300.000 12646183
631 3166 16156300.000 12649349
632 3143 16093600.000 12652492
633 3149 16075800.000 12655641
634 3092 16145800.000 12658733
635 3094 16075500.000 12661827
636 2963 16040300.000 12664790
637 2948 16030300.000 12667738
638 3005 16033800.000 12670743
639 2966 15962900.000 12673709
640 3018 15946100.000 12676727
641 2933 15936300.000 12679660
642 2986 15945700.000 12682646
643 2912 15937100.000 12685558
644 3001 15870800.000 12688559
645 2988 15825100.000 12691547
646 2987 15800700.000 12694534
647 2966 15750300.000 12697500
648 2996 15849000.000 12700496
649 2829 15664500.000 12703325
650 2930 15699800.000 12706255
651 2872 15731900.000 12709127
652 2833 15698400.000 12711960
653 2693 15638900.000 12714653
654 2652 15526100.000 12717305
655 2727 15544400.000 12720032
656 2545 15468500.000 12722577
657 2517 15434600.000 12725094
658 2511 15374300.000 12727605
659 2506 15403700.000 12730111
660 2420 15342900.000 12732531
661 2374 15361300.000 12734905
662 2432 15257100.000 12737337
663 2408 15319900.000 12739745
664 2440 15144700.000 12742185
665 2304 15283700.000 12744489
666 2485 15222600.000 12746974
667 2346 15211300.000 12749320
668 2297 15217400.000 12751617
669 2366 15049600.000 12753983
670 2324 15089500.000 12756307
671 2324 15110300.000 12758631
672 2285 15070900.000 12760916
673 2361 15048900.000 12763277
674 2297 14940300.000 12765574
