freq num average numcdf
891 2 3623.000 1596565
892 1 3060.000 1596566
893 1 26610.000 1596567
895 2 27654.500 1596569
897 1 6339.000 1596570
899 1 10888.000 1596571
900 1 14420.000 1596572
902 1 6695.000 1596573
903 2 11610.500 1596575
904 2 6149.000 1596577
906 1 13463.000 1596578
908 2 14001.000 1596580
909 2 25572.000 1596582
912 1 19967.000 1596583
916 2 13693.500 1596585
917 1 27045.000 1596586
918 1 27279.000 1596587
919 2 16514.500 1596589
920 1 26616.000 1596590
922 1 4987.000 1596591
925 2 22421.500 1596593
926 1 19714.000 1596594
929 2 23632.000 1596596
931 3 19041.700 1596599
932 1 12867.000 1596600
933 1 4547.000 1596601
934 1 19532.000 1596602
936 1 26775.000 1596603
937 2 25296.000 1596605
938 1 19463.000 1596606
941 2 9393.000 1596608
942 1 4900.000 1596609
943 1 24826.000 1596610
945 1 26835.000 1596611
946 2 22098.500 1596613
947 1 25258.000 1596614
950 2 8951.000 1596616
951 2 16637.500 1596618
952 2 4007.500 1596620
953 1 26259.000 1596621
954 1 8029.000 1596622
957 2 24097.500 1596624
958 1 26122.000 1596625
959 2 25906.000 1596627
960 1 25504.000 1596628
962 2 20281.500 1596630
963 1 25606.000 1596631
965 3 20141.000 1596634
966 2 4216.500 1596636
967 1 26350.000 1596637
969 2 25492.500 1596639
970 2 24495.000 1596641
972 1 5296.000 1596642
974 1 25723.000 1596643
975 1 12023.000 1596644
976 5 10790.000 1596649
977 1 144.000 1596650
979 1 25562.000 1596651
980 1 22730.000 1596652
983 2 16114.000 1596654
986 1 24306.000 1596655
988 1 25164.000 1596656
990 1 22952.000 1596657
993 1 22088.000 1596658
994 1 25509.000 1596659
997 1 9545.000 1596660
1001 1 25014.000 1596661
1003 1 24407.000 1596662
1004 1 24954.000 1596663
1007 2 25199.500 1596665
1009 2 18902.500 1596667
1011 1 23657.000 1596668
1013 1 4389.000 1596669
1017 1 9646.000 1596670
1021 2 13152.000 1596672
1022 1 24526.000 1596673
1025 1 17792.000 1596674
1028 1 24775.000 1596675
1029 2 19922.500 1596677
1034 1 1746.000 1596678
1037 1 4501.000 1596679
1038 1 2839.000 1596680
1040 1 9749.000 1596681
1044 1 24450.000 1596682
1048 1 24276.000 1596683
1053 2 20051.500 1596685
1054 1 11989.000 1596686
1057 2 23057.500 1596688
1059 2 17006.500 1596690
1062 1 6848.000 1596691
1064 1 23169.000 1596692
1065 1 9776.000 1596693
1066 1 10632.000 1596694
1070 3 23813.000 1596697
1073 1 20700.000 1596698
1074 1 5283.000 1596699
1075 1 22098.000 1596700
1076 1 23681.000 1596701
1078 1 8575.000 1596702
1082 1 19231.000 1596703
1083 1 7072.000 1596704
1084 1 20823.000 1596705
1090 1 5639.000 1596706
1093 1 22923.000 1596707
1095 1 16595.000 1596708
1099 2 21714.000 1596710
1100 1 5615.000 1596711
1101 1 1361.000 1596712
1102 2 22117.500 1596714
1106 1 22620.000 1596715
1108 1 22864.000 1596716
1109 1 22863.000 1596717
1111 2 12733.000 1596719
1116 1 22853.000 1596720
1117 1 17881.000 1596721
1120 1 20608.000 1596722
1125 1 21122.000 1596723
1126 1 21887.000 1596724
1132 1 22601.000 1596725
1135 1 19876.000 1596726
1143 1 21569.000 1596727
1154 1 15732.000 1596728
1159 1 19149.000 1596729
1163 1 20126.000 1596730
1167 1 21923.000 1596731
1178 1 210.000 1596732
1183 2 12691.000 1596734
1188 1 11785.000 1596735
1189 1 5425.000 1596736
1191 2 8394.500 1596738
1192 1 21188.000 1596739
1197 3 16066.700 1596742
1198 1 7506.000 1596743
1201 1 20751.000 1596744
1202 1 5760.000 1596745
1206 1 14956.000 1596746
1207 1 7694.000 1596747
1209 1 20911.000 1596748
1211 2 10630.000 1596750
1212 2 20634.500 1596752
1215 1 12873.000 1596753
1217 1 5137.000 1596754
1223 1 20650.000 1596755
1225 2 13159.500 1596757
1233 2 10312.500 1596759
1235 2 11087.500 1596761
1238 1 1034.000 1596762
1239 1 20467.000 1596763
1242 1 2775.000 1596764
