,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w64.oracleGeneral.bin.zst,0.868,0.8679,0.892,0.8659,0.8628,0.8662,0.8695,0.8702,0.8778,0.8671,0.8671,0.8774,0.8907,0.8698,0.8659,0.8671,0.8923,0.8699,0.8902
w39.oracleGeneral.bin.zst,0.053,0.0536,0.0543,0.0547,0.0385,0.0603,0.0564,0.0619,0.0588,0.0549,0.0576,0.0487,0.0548,0.0533,0.0543,0.0548,0.0571,0.0554,0.0465
w32.oracleGeneral.bin.zst,0.2932,0.2947,0.3252,0.3753,0.2463,0.3663,0.389,0.3968,0.3824,0.3332,0.3741,0.335,0.3833,0.3691,0.3345,0.3065,0.4849,0.3493,0.2681
w24.oracleGeneral.bin.zst,0.2377,0.24,0.2462,0.2402,0.1984,0.2623,0.2785,0.2994,0.2942,0.2744,0.2889,0.2936,0.2461,0.2799,0.2521,0.2545,0.2575,0.2951,0.2479
w59.oracleGeneral.bin.zst,0.2027,0.1882,0.2015,0.1947,0.1177,0.2043,0.1889,0.2414,0.2308,0.2127,0.2247,0.2006,0.2104,0.1877,0.1948,0.2018,0.2018,0.2192,0.2516
w106.oracleGeneral.bin.zst,0.1062,0.1067,0.1075,0.1079,0.1031,0.1148,0.1283,0.1291,0.1318,0.1162,0.1249,0.1241,0.1105,0.1288,0.1078,0.1126,0.1099,0.128,0.1072
w17.oracleGeneral.bin.zst,0.0995,0.1006,0.1047,0.1034,0.087,0.1027,0.1049,0.1164,0.1125,0.1031,0.1056,0.1049,0.1072,0.1048,0.1034,0.1035,0.1032,0.1116,0.1112
w88.oracleGeneral.bin.zst,0.1093,0.1127,0.127,0.1239,0.0887,0.1206,0.1263,0.1463,0.1477,0.1325,0.1463,0.1305,0.1181,0.1221,0.1225,0.1244,0.1454,0.1311,0.1352
w85.oracleGeneral.bin.zst,0.2686,0.2749,0.4978,0.7583,0.4502,0.7586,0.784,0.8008,0.6457,0.7766,0.7688,0.5901,0.4666,0.7822,0.758,0.7758,0.5438,0.7842,0.4779
w80.oracleGeneral.bin.zst,0.171,0.1802,0.2959,0.3256,0.1894,0.2916,0.3337,0.3986,0.3339,0.3112,0.3317,0.29,0.2437,0.3316,0.2959,0.2941,0.2725,0.2977,0.246
w65.oracleGeneral.bin.zst,0.3197,0.3354,0.5446,0.9352,0.3798,0.9618,0.9496,0.9674,0.6591,0.9405,0.8389,0.5692,0.3938,0.9613,0.6172,0.6201,0.5321,0.6859,0.3979
w31.oracleGeneral.bin.zst,0.6293,0.6316,0.6367,0.6488,0.6097,0.6537,0.6526,0.6725,0.6628,0.6502,0.6497,0.6504,0.6314,0.6543,0.6489,0.6562,0.646,0.6727,0.6459
w46.oracleGeneral.bin.zst,0.4201,0.4139,0.421,0.4062,0.3977,0.4108,0.4059,0.4113,0.4132,0.4059,0.4063,0.4069,0.4424,0.4061,0.4062,0.4066,0.4122,0.4108,0.4593
w76.oracleGeneral.bin.zst,0.1343,0.1313,0.1321,0.1323,0.1158,0.136,0.1353,0.1459,0.1476,0.1328,0.1372,0.1349,0.1357,0.1311,0.1343,0.1362,0.1299,0.1412,0.1679
w100.oracleGeneral.bin.zst,0.5425,0.5443,0.5514,0.5487,0.4859,0.5634,0.5336,0.5561,0.5554,0.5311,0.546,0.538,0.5478,0.5276,0.549,0.5361,0.5587,0.5463,0.5425
w14.oracleGeneral.bin.zst,0.2884,0.2942,0.3123,0.3483,0.2566,0.3171,0.3665,0.3516,0.3549,0.3379,0.3803,0.2765,0.2817,0.283,0.3184,0.3147,0.3047,0.3245,0.287
