,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w21.oracleGeneral.bin.zst_29416348,0.6504,0.6471,0.5841,0.6366,0.639,0.855,0.8464,0.8341,0.8496,0.7113,0.8582,0.6919,0.7512,0.6469,0.8551,0.8234,0.6512,0.6689,0.7527,0.7013,0.7167
w02.oracleGeneral.bin.zst_122181000,0.0408,0.0401,0.0198,0.0395,0.0443,0.0436,0.0974,0.0697,0.0364,0.0547,0.0455,0.0472,0.0381,0.0366,0.0448,0.0403,0.0397,0.04,0.0423,0.0478,0.0339
w26.oracleGeneral.bin.zst_26532121,0.3085,0.3041,0.1863,0.3109,0.3144,0.3174,0.3465,0.3287,0.309,0.3205,0.3304,0.5304,0.3176,0.3084,0.3284,0.305,0.3113,0.3008,0.3157,0.3016,0.2759
w64.oracleGeneral.bin.zst_7458266,0.8922,0.8663,0.8628,0.8663,0.8922,0.8705,0.8711,0.8869,0.8684,0.889,0.8696,0.8663,0.8866,0.8911,0.8709,0.8709,0.8662,0.8676,0.8925,0.8706,0.8925
w39.oracleGeneral.bin.zst_17920022,0.0648,0.0673,0.0463,0.067,0.0661,0.0717,0.0784,0.0797,0.0684,0.0718,0.0795,0.1748,0.059,0.0667,0.0662,0.0669,0.0656,0.0656,0.0716,0.0622,0.057
w32.oracleGeneral.bin.zst_20776392,0.4809,0.5216,0.3026,0.5261,0.5199,0.5122,0.5163,0.5177,0.4591,0.4321,0.5551,0.6566,0.5022,0.5034,0.5111,0.4854,0.4874,0.417,0.4927,0.452,0.3508
w24.oracleGeneral.bin.zst_27165370,0.385,0.4002,0.2603,0.4013,0.4202,0.4224,0.4521,0.4076,0.4082,0.4185,0.4183,0.3829,0.4084,0.3705,0.4367,0.4265,0.3839,0.3844,0.3763,0.3986,0.3719
w59.oracleGeneral.bin.zst_10223136,0.4627,0.4509,0.2304,0.4501,0.4536,0.4561,0.4709,0.4552,0.4621,0.5057,0.4629,0.6156,0.4598,0.4495,0.4566,0.4454,0.452,0.4588,0.4458,0.4518,0.4624
w106.oracleGeneral.bin.zst_3275919,0.1306,0.133,0.1081,0.1345,0.1398,0.146,0.1523,0.1538,0.1412,0.1366,0.1481,0.1417,0.1431,0.1298,0.1459,0.1368,0.1317,0.1284,0.1347,0.1412,0.1251
w17.oracleGeneral.bin.zst_31398089,0.1214,0.1224,0.0922,0.1208,0.1229,0.1258,0.144,0.1392,0.1232,0.1279,0.1267,0.2307,0.1252,0.1263,0.1323,0.1279,0.1207,0.123,0.1199,0.1297,0.1353
