 accp4 accp4c accp4p
540 0.241 1.000 0.997
541 0.241 1.000 0.997
542 0.241 1.000 0.997
543 0.242 1.000 0.997
544 0.242 1.000 0.997
545 0.242 1.000 0.997
546 0.242 1.000 0.997
547 0.242 1.000 0.997
548 0.242 1.000 0.997
549 0.242 1.000 0.997
550 0.242 1.000 0.997
551 0.242 1.000 0.997
552 0.243 1.000 0.997
553 0.243 1.000 0.997
554 0.243 1.000 0.997
555 0.243 1.000 0.997
556 0.243 1.000 0.997
557 0.243 1.000 0.997
558 0.243 1.000 0.997
559 0.243 1.000 0.997
560 0.243 1.000 0.997
561 0.244 1.000 0.997
562 0.244 1.000 0.997
563 0.244 1.000 0.997
564 0.244 1.000 0.997
565 0.244 1.000 0.997
566 0.244 1.000 0.997
567 0.244 1.000 0.997
568 0.244 1.000 0.997
569 0.244 1.000 0.997
570 0.244 1.000 0.997
571 0.244 1.000 0.997
572 0.244 1.000 0.997
573 0.244 1.000 0.997
574 0.244 1.000 0.997
575 0.245 1.000 0.997
576 0.245 1.000 0.997
577 0.245 1.000 0.997
578 0.245 1.000 0.997
579 0.245 1.000 0.997
580 0.245 1.000 0.997
581 0.245 1.000 0.997
582 0.245 1.000 0.997
583 0.245 1.000 0.997
584 0.245 1.000 0.997
585 0.245 1.000 0.997
586 0.246 1.000 0.997
587 0.246 1.000 0.997
588 0.246 1.000 0.997
589 0.246 1.000 0.997
590 0.246 1.000 0.997
591 0.246 1.000 0.997
592 0.246 1.000 0.997
593 0.246 1.000 0.997
594 0.246 1.000 0.997
595 0.246 1.000 0.997
596 0.246 1.000 0.997
597 0.246 1.000 0.997
598 0.246 1.000 0.997
599 0.246 1.000 0.997
600 0.246 1.000 0.997
601 0.246 1.000 0.997
602 0.247 1.000 0.997
603 0.247 1.000 0.997
604 0.247 1.000 0.997
605 0.247 1.000 0.997
606 0.247 1.000 0.997
607 0.247 1.000 0.997
608 0.247 1.000 0.997
609 0.247 1.000 0.997
610 0.247 1.000 0.997
611 0.247 1.000 0.997
612 0.247 1.000 0.997
613 0.247 1.000 0.997
614 0.247 1.000 0.997
615 0.247 1.000 0.997
616 0.247 1.000 0.997
617 0.247 1.000 0.997
618 0.247 1.000 0.998
619 0.248 1.000 0.998
620 0.248 1.000 0.998
621 0.248 1.000 0.998
622 0.248 1.000 0.998
623 0.248 1.000 0.998
624 0.249 1.000 0.998
625 0.249 1.000 0.998
626 0.249 1.000 0.998
627 0.249 1.000 0.998
628 0.249 1.000 0.998
629 0.249 1.000 0.998
630 0.249 1.000 0.998
631 0.249 1.000 0.998
632 0.249 1.000 0.998
633 0.249 1.000 0.998
634 0.250 1.000 0.998
635 0.250 1.000 0.998
636 0.250 1.000 0.998
637 0.250 1.000 0.998
638 0.250 1.000 0.998
639 0.251 1.000 0.998
640 0.251 1.000 0.998
641 0.251 1.000 0.998
642 0.251 1.000 0.998
643 0.251 1.000 0.998
644 0.251 1.000 0.998
645 0.251 1.000 0.998
646 0.251 1.000 0.998
647 0.251 1.000 0.998
648 0.251 1.000 0.998
649 0.251 1.000 0.998
650 0.251 1.000 0.998
651 0.251 1.000 0.998
652 0.251 1.000 0.998
653 0.251 1.000 0.998
654 0.251 1.000 0.998
655 0.251 1.000 0.998
