 accp4 accp4c accp4p
425 0.490 1.002 1.001
426 0.491 1.002 1.001
427 0.491 1.002 1.001
428 0.491 1.002 1.001
429 0.492 1.002 1.001
430 0.492 1.002 1.001
431 0.493 1.002 1.001
432 0.493 1.002 1.001
433 0.496 1.002 1.001
434 0.497 1.002 1.001
435 0.497 1.002 1.001
436 0.497 1.002 1.001
437 0.499 1.002 1.001
438 0.499 1.002 1.002
439 0.500 1.002 1.002
440 0.501 1.002 1.002
441 0.502 1.002 1.002
442 0.504 1.002 1.002
443 0.505 1.002 1.002
444 0.505 1.002 1.002
445 0.507 1.002 1.002
446 0.511 1.002 1.002
447 0.511 1.002 1.002
448 0.512 1.002 1.002
449 0.512 1.002 1.002
450 0.513 1.002 1.002
451 0.513 1.003 1.002
452 0.515 1.003 1.002
453 0.516 1.003 1.002
454 0.517 1.003 1.002
455 0.517 1.003 1.002
456 0.518 1.003 1.002
457 0.518 1.003 1.002
458 0.521 1.003 1.002
459 0.521 1.003 1.002
460 0.521 1.003 1.002
461 0.521 1.003 1.002
462 0.523 1.003 1.002
463 0.523 1.003 1.002
464 0.523 1.003 1.002
465 0.523 1.003 1.002
466 0.523 1.003 1.002
467 0.525 1.003 1.002
468 0.525 1.003 1.002
469 0.526 1.003 1.002
470 0.526 1.003 1.002
471 0.527 1.003 1.002
472 0.529 1.003 1.003
473 0.530 1.003 1.003
474 0.531 1.003 1.003
475 0.531 1.003 1.003
476 0.531 1.003 1.003
477 0.531 1.003 1.003
478 0.532 1.003 1.003
479 0.532 1.004 1.003
480 0.534 1.004 1.003
481 0.535 1.004 1.003
482 0.537 1.004 1.003
483 0.540 1.004 1.003
484 0.540 1.004 1.003
485 0.540 1.004 1.003
486 0.547 1.004 1.003
487 0.547 1.004 1.003
488 0.549 1.004 1.003
489 0.558 1.004 1.003
490 0.559 1.004 1.003
491 0.560 1.004 1.003
492 0.561 1.004 1.003
493 0.566 1.004 1.003
494 0.567 1.004 1.003
495 0.572 1.004 1.003
496 0.575 1.005 1.003
497 0.577 1.005 1.003
498 0.579 1.005 1.003
499 0.579 1.005 1.003
500 0.582 1.005 1.003
501 0.583 1.005 1.003
502 0.590 1.005 1.003
503 0.593 1.005 1.003
504 0.593 1.005 1.003
505 0.594 1.005 1.003
506 0.596 1.005 1.003
507 0.597 1.005 1.003
508 0.598 1.005 1.003
509 0.602 1.005 1.003
510 0.602 1.005 1.003
511 0.603 1.005 1.003
512 0.603 1.005 1.004
513 0.605 1.005 1.004
