,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w14.oracleGeneral.bin.zst_34816425,0.7725,0.7905,0.6675,0.7895,0.8145,0.8201,0.8154,0.7985,0.8138,0.8151,0.7743,0.7993,0.7752,0.7879,0.7809,0.8055,0.7762
w62.oracleGeneral.bin.zst_9497745,0.585,0.6706,0.5589,0.6123,0.737,0.7907,0.722,0.6773,0.7518,0.7128,0.5829,0.6905,0.6076,0.6151,0.6757,0.621,0.6208
w33.oracleGeneral.bin.zst_19868346,0.2063,0.2225,0.1246,0.2238,0.241,0.2509,0.3062,0.3273,0.2544,0.2699,0.219,0.2323,0.2031,0.19,0.2445,0.1893,0.1819
w67.oracleGeneral.bin.zst_9028144,0.3473,0.3757,0.2387,0.3774,0.4055,0.4213,0.4084,0.4058,0.4079,0.4316,0.3523,0.3791,0.343,0.3423,0.3718,0.3525,0.3439
w49.oracleGeneral.bin.zst_11151558,0.652,0.6908,0.5173,0.7194,0.7196,0.7053,0.7319,0.7201,0.7257,0.7808,0.6785,0.7215,0.6471,0.6278,0.6679,0.6471,0.6625
w55.oracleGeneral.bin.zst_8855434,0.6829,0.6758,0.6264,0.6791,0.6846,0.6892,0.7012,0.7236,0.6827,0.7541,0.6932,0.684,0.6768,0.6774,0.6885,0.686,0.6952
w73.oracleGeneral.bin.zst_6368815,0.4442,0.4617,0.3103,0.4679,0.4628,0.4754,0.4829,0.4541,0.4681,0.5083,0.4423,0.4549,0.4311,0.4246,0.4249,0.427,0.4063
w89.oracleGeneral.bin.zst_3625918,0.4257,0.4212,0.3576,0.4161,0.4492,0.4782,0.4806,0.4426,0.4572,0.4638,0.4315,0.4384,0.4197,0.4276,0.4463,0.443,0.4613
w09.oracleGeneral.bin.zst_49622929,0.6846,0.7182,0.5873,0.7165,0.7352,0.741,0.7292,0.7262,0.7321,0.7552,0.6731,0.7038,0.6977,0.7077,0.7005,0.7287,0.6537
w45.oracleGeneral.bin.zst_15064629,0.1347,0.1375,0.081,0.1447,0.1624,0.156,0.1676,0.1664,0.1643,0.1976,0.135,0.1548,0.1364,0.1332,0.1463,0.1365,0.1292
w90.oracleGeneral.bin.zst_4493515,0.5503,0.5608,0.3898,0.505,0.5589,0.5788,0.5447,0.583,0.5581,0.6052,0.5538,0.5593,0.5525,0.552,0.7784,0.5562,0.6338
w36.oracleGeneral.bin.zst_18915625,0.2068,0.2326,0.1284,0.2293,0.2445,0.2552,0.3086,0.3228,0.2592,0.257,0.2225,0.2385,0.2103,0.1969,0.2431,0.2018,0.1897
w05.oracleGeneral.bin.zst_73034546,0.8159,0.8862,0.6478,0.8191,0.903,0.9019,0.8708,0.8765,0.9035,0.8629,0.8268,0.8991,0.8394,0.8515,0.834,0.879,0.8262
w43.oracleGeneral.bin.zst_15617420,0.6648,0.6707,0.4635,0.6827,0.7381,0.7706,0.6772,0.6826,0.7198,0.6986,0.6669,0.7374,0.6725,0.6731,0.6613,0.689,0.6667
w04.oracleGeneral.bin.zst_77764582,0.6313,0.6662,0.5328,0.65,0.6641,0.6716,0.6609,0.6525,0.6606,0.6671,0.638,0.6418,0.6306,0.6341,0.637,0.6578,0.6198
w07.oracleGeneral.bin.zst_67427405,0.5053,0.5176,0.3991,0.5462,0.5695,0.6133,0.5627,0.5344,0.5646,0.5681,0.509,0.5694,0.5026,0.5043,0.5177,0.529,0.4874
w92.oracleGeneral.bin.zst_4284658,0.8887,0.9448,0.8742,0.9449,0.9571,0.9572,0.9578,0.938,0.9571,0.9156,0.8853,0.9569,0.9448,0.9532,0.9028,0.9569,0.9003
w74.oracleGeneral.bin.zst_6343762,0.3866,0.422,0.257,0.4138,0.443,0.4585,0.4497,0.4562,0.4461,0.4705,0.379,0.4278,0.3758,0.3694,0.4004,0.379,0.3686
w11.oracleGeneral.bin.zst_46173369,0.5025,0.5371,0.2741,0.5105,0.5302,0.5562,0.528,0.6003,0.5318,0.7192,0.5045,0.5369,0.5038,0.505,0.4958,0.505,0.5729
