,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w69.oracleGeneral.bin.zst_7874006,0.7388,0.7902,0.6495,0.7714,0.8163,0.8272,0.7691,0.7324,0.8127,0.7985,0.721,0.7459,0.8195,0.8119,0.7456,0.744,0.726,0.7648,0.7173
w95.oracleGeneral.bin.zst_3937240,0.4153,0.4214,0.3733,0.4249,0.4423,0.4589,0.427,0.4017,0.4419,0.4627,0.4056,0.4124,0.4455,0.4333,0.4156,0.4188,0.4114,0.4249,0.4223
w82.oracleGeneral.bin.zst_4926610,0.5297,0.5873,0.5022,0.5593,0.6094,0.6491,0.5736,0.5092,0.6112,0.605,0.5142,0.5358,0.6205,0.5714,0.5323,0.5299,0.5391,0.5402,0.5377
w48.oracleGeneral.bin.zst_14097008,0.9566,0.97,0.9075,0.9577,0.9665,0.9674,0.9325,0.9156,0.966,0.9766,0.9172,0.9575,0.9668,0.9656,0.9593,0.9614,0.9596,0.9638,0.9405
w47.oracleGeneral.bin.zst_14314717,0.1571,0.1579,0.1492,0.159,0.1611,0.1924,0.1599,0.1545,0.1618,0.1848,0.1551,0.1638,0.1625,0.1598,0.1568,0.158,0.1588,0.1589,0.1845
w61.oracleGeneral.bin.zst_9884691,0.919,0.917,0.7369,0.9163,0.9265,0.9257,0.8835,0.8593,0.926,0.9653,0.8477,0.9141,0.9269,0.9256,0.9187,0.9199,0.9164,0.9273,0.9197
w56.oracleGeneral.bin.zst_10899629,0.272,0.2941,0.2366,0.29,0.335,0.396,0.3142,0.2717,0.3517,0.582,0.2674,0.2842,0.3409,0.3142,0.2754,0.2731,0.2884,0.2674,0.2763
w77.oracleGeneral.bin.zst_5616402,0.5911,0.6041,0.5557,0.5931,0.5977,0.6066,0.5932,0.5736,0.5965,0.6392,0.5839,0.6201,0.5987,0.5945,0.592,0.5899,0.5892,0.5904,0.6198
w57.oracleGeneral.bin.zst_10554725,0.3229,0.3447,0.2783,0.3395,0.3858,0.4358,0.359,0.3198,0.3978,0.547,0.32,0.3341,0.3969,0.3645,0.3275,0.3246,0.3379,0.3176,0.3181
w104.oracleGeneral.bin.zst_3395553,0.9383,0.9487,0.8335,0.9331,0.9288,0.9286,0.9399,0.9269,0.9303,0.9556,0.9303,0.9416,0.9287,0.9287,0.939,0.9347,0.9351,0.936,0.923
w96.oracleGeneral.bin.zst_3787344,0.8505,0.8488,0.699,0.8475,0.8775,0.8945,0.845,0.8306,0.8762,0.9277,0.8325,0.8473,0.8778,0.8755,0.8536,0.8498,0.853,0.8514,0.8489
w01.oracleGeneral.bin.zst_215796257,0.8546,0.8776,0.8233,0.8387,0.8385,0.842,0.8429,0.8391,0.8387,0.9873,0.8388,0.8764,0.8395,0.8389,0.8545,0.8477,0.8394,0.8484,0.9407
w53.oracleGeneral.bin.zst_8973978,0.7135,0.7424,0.6738,0.7152,0.7199,0.7257,0.7168,0.6866,0.7193,0.7609,0.7035,0.7092,0.7206,0.7187,0.7146,0.7087,0.7039,0.711,0.6984
w12.oracleGeneral.bin.zst_45355529,0.0745,0.0776,0.0633,0.0772,0.0818,0.0893,0.0787,0.0766,0.0821,0.1141,0.0727,0.0748,0.0833,0.0767,0.0744,0.0756,0.0755,0.0776,0.0802
