,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w16.oracleGeneral.bin.zst_26702188,0.7872,0.8182,0.7439,0.8134,0.8054,0.8369,0.8539,0.8742,0.8872,0.8855,0.8374,0.8138,0.8936,0.7925,0.8412,0.8213,0.7877,0.787,0.8047,0.789,0.7886
w40.oracleGeneral.bin.zst_17657232,0.2528,0.2635,0.2301,0.2636,0.2552,0.2625,0.276,0.2839,0.296,0.2923,0.2633,0.3068,0.2944,0.3088,0.2605,0.2595,0.2531,0.2528,0.256,0.2523,0.3301
w25.oracleGeneral.bin.zst_26569398,0.9556,0.9774,0.9179,0.9765,0.9712,0.982,0.9829,0.9823,0.9813,0.9805,0.9823,0.9703,0.9802,0.9565,0.9828,0.9813,0.9555,0.9546,0.9635,0.9593,0.9529
w38.oracleGeneral.bin.zst_18535323,0.7251,0.7392,0.6478,0.7398,0.7258,0.7315,0.7489,0.7399,0.7335,0.7999,0.7336,0.9099,0.7403,0.7409,0.7345,0.7295,0.7257,0.7295,0.7283,0.7255,0.7772
w71.oracleGeneral.bin.zst_6840776,0.7292,0.7327,0.6819,0.7321,0.7355,0.7548,0.7621,0.7502,0.7417,0.7547,0.7528,0.7507,0.7531,0.7328,0.7568,0.7427,0.7294,0.7299,0.7351,0.7355,0.7298
w20.oracleGeneral.bin.zst_29842317,0.9488,0.9566,0.9168,0.9552,0.9576,0.9634,0.9649,0.963,0.9555,0.9582,0.9626,0.9772,0.9586,0.9539,0.9636,0.9613,0.9488,0.945,0.9499,0.9497,0.9547
w93.oracleGeneral.bin.zst_3351357,0.9456,0.9468,0.9244,0.9463,0.9476,0.9494,0.9499,0.9497,0.9512,0.9514,0.9493,0.9497,0.9595,0.9638,0.9496,0.9493,0.946,0.9458,0.9476,0.9461,0.9598
w15.oracleGeneral.bin.zst_33628757,0.9803,0.9823,0.9576,0.9819,0.9865,0.9906,0.9907,0.99,0.9901,0.9894,0.9904,0.9917,0.9949,0.9821,0.9906,0.9905,0.9814,0.9818,0.9868,0.9846,0.9727
w21.oracleGeneral.bin.zst_29416348,0.9864,0.9867,0.9766,0.9867,0.9872,0.9899,0.9904,0.9901,0.989,0.989,0.9898,0.9874,0.9894,0.9861,0.9901,0.9894,0.9864,0.9867,0.9867,0.9876,0.9862
w02.oracleGeneral.bin.zst_122181000,0.9807,0.9892,0.9762,0.9892,0.9921,0.9982,0.9983,0.998,0.9972,0.991,0.9982,0.9929,0.9847,0.9819,0.9983,0.998,0.9894,0.9906,0.9849,0.9925,0.9822
w26.oracleGeneral.bin.zst_26532121,0.7615,0.7744,0.6751,0.7744,0.771,0.7825,0.7917,0.7915,0.7916,0.8031,0.7883,0.8762,0.7824,0.7694,0.7816,0.778,0.765,0.7603,0.7689,0.7536,0.7514
w64.oracleGeneral.bin.zst_7458266,0.9488,0.9514,0.9387,0.9516,0.9512,0.9518,0.9537,0.9538,0.952,0.9547,0.9519,0.9739,0.953,0.9507,0.9524,0.9512,0.9485,0.9482,0.9498,0.9507,0.9532
w39.oracleGeneral.bin.zst_17920022,0.1708,0.1761,0.159,0.1761,0.1723,0.1755,0.1919,0.1982,0.2187,0.2064,0.1786,0.201,0.2163,0.2193,0.1763,0.1752,0.1711,0.1714,0.1753,0.1711,0.2255
w32.oracleGeneral.bin.zst_20776392,0.6315,0.6435,0.5814,0.6457,0.6358,0.6455,0.6466,0.6459,0.6405,0.6541,0.6452,0.6968,0.644,0.6428,0.6458,0.6438,0.6327,0.6299,0.6362,0.6312,0.6338
w24.oracleGeneral.bin.zst_27165370,0.8047,0.8075,0.7455,0.8072,0.8033,0.8137,0.8251,0.8126,0.8061,0.8244,0.8119,0.9323,0.8127,0.8074,0.8154,0.8101,0.8055,0.806,0.8041,0.8061,0.8066
w59.oracleGeneral.bin.zst_10223136,0.9163,0.9383,0.7969,0.936,0.9223,0.944,0.9531,0.9544,0.9634,0.9841,0.9448,0.993,0.9817,0.913,0.9467,0.939,0.9171,0.9181,0.9378,0.9256,0.9357
w106.oracleGeneral.bin.zst_3275919,0.5642,0.6051,0.4385,0.5984,0.5872,0.6095,0.6339,0.592,0.6065,0.6063,0.61,0.6507,0.5849,0.5661,0.6166,0.5983,0.5704,0.5723,0.5847,0.5817,0.5201
w17.oracleGeneral.bin.zst_31398089,0.6745,0.7463,0.5049,0.75,0.723,0.7805,0.7709,0.7282,0.7474,0.8208,0.7814,0.9073,0.6845,0.6968,0.7763,0.7675,0.7168,0.7055,0.6675,0.7012,0.6407
w88.oracleGeneral.bin.zst_4711053,0.6238,0.6327,0.5426,0.632,0.628,0.6453,0.6581,0.6488,0.664,0.6664,0.6457,0.7121,0.7168,0.6438,0.6474,0.6337,0.6238,0.6281,0.6362,0.627,0.6485
w85.oracleGeneral.bin.zst_4790048,0.972,0.973,0.9651,0.9727,0.9736,0.9795,0.9802,0.98,0.9778,0.9819,0.9793,0.9776,0.979,0.9746,0.9798,0.9785,0.9716,0.9711,0.9744,0.973,0.9736
w80.oracleGeneral.bin.zst_5256246,0.9098,0.9104,0.8486,0.91,0.9122,0.9283,0.933,0.922,0.9198,0.9265,0.9281,0.9334,0.9273,0.9126,0.9306,0.9237,0.9121,0.913,0.9147,0.9154,0.9106
w65.oracleGeneral.bin.zst_9316229,0.9901,0.9914,0.983,0.9912,0.9924,0.9944,0.9946,0.9947,0.9952,0.9953,0.9944,0.9921,0.9968,0.9923,0.9944,0.9944,0.9908,0.9911,0.9917,0.9924,0.9912
w31.oracleGeneral.bin.zst_21166982,0.9832,0.9884,0.9694,0.988,0.9884,0.9931,0.9933,0.9921,0.9912,0.9923,0.9929,0.9924,0.9918,0.9827,0.9932,0.9917,0.9876,0.9888,0.9855,0.9906,0.9848
w46.oracleGeneral.bin.zst_11550125,0.8744,0.8789,0.806,0.8759,0.8874,0.9185,0.9238,0.9253,0.9127,0.9308,0.9193,0.9183,0.9372,0.873,0.9202,0.912,0.8741,0.8752,0.8998,0.8819,0.9048
w76.oracleGeneral.bin.zst_6076272,0.6293,0.6417,0.5542,0.6423,0.6361,0.6526,0.6759,0.6565,0.6576,0.6659,0.6555,0.7048,0.6639,0.6716,0.6533,0.6474,0.6327,0.63,0.6428,0.6279,0.6731
w100.oracleGeneral.bin.zst_3645877,0.929,0.9406,0.8734,0.9403,0.9312,0.9427,0.946,0.9335,0.9297,0.9332,0.9426,0.9554,0.9373,0.9326,0.9432,0.9389,0.93,0.9298,0.9296,0.9303,0.9276
w14.oracleGeneral.bin.zst_34816425,0.8705,0.8878,0.8164,0.8893,0.8667,0.8743,0.8811,0.8795,0.8703,0.8804,0.877,0.9562,0.8716,0.8776,0.8744,0.873,0.872,0.8728,0.8675,0.8628,0.8801
