,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w85.oracleGeneral.bin.zst_4790048,0.6396,0.7632,0.63,0.7626,0.8106,0.8139,0.7736,0.5653,0.8025,0.568,0.6317,0.8067,0.7603,0.7805,0.6369,0.8059,0.6384
w80.oracleGeneral.bin.zst_5256246,0.4515,0.4616,0.3229,0.4549,0.4962,0.5131,0.4533,0.3516,0.488,0.3275,0.4323,0.4969,0.4273,0.4259,0.4034,0.4339,0.3819
w65.oracleGeneral.bin.zst_9316229,0.8294,0.955,0.8033,0.9505,0.9754,0.976,0.9346,0.7124,0.9755,0.7239,0.8211,0.9757,0.9461,0.9579,0.831,0.9659,0.8337
w31.oracleGeneral.bin.zst_21166982,0.7103,0.7326,0.6347,0.7102,0.8166,0.8393,0.7585,0.7178,0.7889,0.7055,0.6979,0.8257,0.7133,0.7189,0.7356,0.7392,0.7191
w46.oracleGeneral.bin.zst_11550125,0.4463,0.4323,0.3977,0.4276,0.4255,0.4366,0.4281,0.4078,0.4277,0.4241,0.4535,0.4276,0.431,0.4247,0.4261,0.4333,0.4651
w76.oracleGeneral.bin.zst_6076272,0.1461,0.1399,0.1158,0.1462,0.1575,0.1864,0.1625,0.1185,0.1617,0.1326,0.1415,0.1549,0.1371,0.1522,0.1437,0.17,0.1585
w100.oracleGeneral.bin.zst_3645877,0.577,0.6106,0.4859,0.6018,0.6275,0.6522,0.5455,0.5178,0.6194,0.547,0.5618,0.636,0.5985,0.6076,0.5853,0.6178,0.5667
w14.oracleGeneral.bin.zst_34816425,0.4233,0.4484,0.3778,0.4494,0.4847,0.4982,0.4646,0.4399,0.4819,0.4379,0.4176,0.4697,0.4438,0.4595,0.4334,0.4765,0.4351
w62.oracleGeneral.bin.zst_9497745,0.5791,0.6253,0.5469,0.6382,0.6305,0.7339,0.6666,0.6291,0.6328,0.6397,0.5667,0.6341,0.6242,0.6448,0.5931,0.6484,0.5819
w33.oracleGeneral.bin.zst_19868346,0.1298,0.1461,0.1099,0.1403,0.1389,0.1466,0.1455,0.1398,0.1415,0.1255,0.1325,0.1358,0.1306,0.1294,0.134,0.1315,0.1267
w67.oracleGeneral.bin.zst_9028144,0.1061,0.1175,0.067,0.1141,0.1255,0.1389,0.0918,0.0628,0.1195,0.0749,0.0927,0.1263,0.1009,0.1006,0.1025,0.114,0.0948
w49.oracleGeneral.bin.zst_11151558,0.3944,0.4263,0.3238,0.474,0.5144,0.5221,0.4236,0.3087,0.5051,0.3294,0.3813,0.4898,0.4218,0.3995,0.3784,0.4861,0.3633
w55.oracleGeneral.bin.zst_8855434,0.8545,0.8545,0.8223,0.8543,0.858,0.8589,0.8473,0.8545,0.8527,0.8543,0.8499,0.8577,0.8541,0.8555,0.8562,0.8576,0.8498
w73.oracleGeneral.bin.zst_6368815,0.2468,0.2571,0.1593,0.2607,0.276,0.3171,0.2358,0.1544,0.2738,0.1766,0.2431,0.2646,0.2421,0.2389,0.2365,0.2608,0.2188
w89.oracleGeneral.bin.zst_3625918,0.2509,0.2482,0.2126,0.227,0.2402,0.2861,0.2636,0.214,0.2593,0.2237,0.2558,0.2367,0.2385,0.2398,0.2323,0.2517,0.2623
w09.oracleGeneral.bin.zst_49622929,0.4427,0.4899,0.3993,0.4812,0.4996,0.5105,0.4755,0.4794,0.4915,0.4823,0.4325,0.4885,0.4612,0.4682,0.454,0.4833,0.4306
w45.oracleGeneral.bin.zst_15064629,0.0799,0.0896,0.0499,0.0806,0.088,0.1017,0.0765,0.0604,0.0983,0.0548,0.0728,0.0827,0.0728,0.0704,0.0772,0.0751,0.0636
w90.oracleGeneral.bin.zst_4493515,0.3732,0.4188,0.2406,0.3583,0.4054,0.4104,0.3118,0.3574,0.3989,0.2879,0.3952,0.4061,0.3865,0.3758,0.4215,0.3978,0.3278
w36.oracleGeneral.bin.zst_18915625,0.1177,0.1348,0.1046,0.1278,0.1273,0.1367,0.1347,0.1269,0.1305,0.1131,0.1209,0.1229,0.1182,0.1171,0.1223,0.1193,0.1145
w05.oracleGeneral.bin.zst_73034546,0.7144,0.7423,0.6357,0.6972,0.739,0.7639,0.6855,0.6053,0.7563,0.6122,0.7012,0.7596,0.7105,0.7257,0.6828,0.7476,0.6951
w43.oracleGeneral.bin.zst_15617420,0.3817,0.4257,0.2892,0.4244,0.4632,0.5061,0.4249,0.386,0.4511,0.4004,0.3838,0.4581,0.4072,0.4153,0.4274,0.4103,0.4179
w04.oracleGeneral.bin.zst_77764582,0.3838,0.4238,0.3245,0.4107,0.4078,0.4109,0.3944,0.3854,0.4045,0.3794,0.3777,0.4013,0.3834,0.3859,0.3794,0.3935,0.3659
w07.oracleGeneral.bin.zst_67427405,0.2299,0.2496,0.1811,0.2618,0.2773,0.3195,0.2608,0.1873,0.2744,0.1821,0.2303,0.2701,0.2276,0.2312,0.2382,0.2534,0.2149
w92.oracleGeneral.bin.zst_4284658,0.6249,0.7977,0.6137,0.7981,0.8247,0.8253,0.7919,0.5875,0.8239,0.6124,0.617,0.8251,0.7972,0.8111,0.6644,0.8243,0.6285
w74.oracleGeneral.bin.zst_6343762,0.1281,0.1343,0.0809,0.1286,0.1451,0.1502,0.108,0.0781,0.1388,0.0892,0.1102,0.1462,0.125,0.1246,0.1249,0.1244,0.1206
