,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w80.oracleGeneral.bin.zst_5256246,0.436,0.4286,0.2905,0.433,0.4583,0.48,0.4997,0.4812,0.4412,0.3963,0.6006,0.4272,0.467,0.4598,0.4106,0.4096,0.407,0.4118,0.3856
w65.oracleGeneral.bin.zst_9316229,0.8138,0.9712,0.7865,0.9687,0.9857,0.9863,0.9622,0.9335,0.9861,0.9733,0.854,0.7991,0.9859,0.9859,0.9654,0.9753,0.8472,0.9797,0.826
w31.oracleGeneral.bin.zst_21166982,0.579,0.6773,0.5009,0.6285,0.9565,0.9646,0.7676,0.7768,0.8576,0.9548,0.7031,0.5635,0.9625,0.9612,0.6145,0.6152,0.7425,0.6455,0.5802
w46.oracleGeneral.bin.zst_11550125,0.6502,0.6296,0.5779,0.6265,0.6154,0.6335,0.6336,0.6185,0.6172,0.6219,0.6746,0.6787,0.619,0.6188,0.6243,0.6146,0.6183,0.6263,0.6926
w76.oracleGeneral.bin.zst_6076272,0.2507,0.2512,0.1954,0.2513,0.2566,0.2949,0.3435,0.3031,0.2697,0.2721,0.3479,0.2543,0.2579,0.2518,0.2453,0.2485,0.246,0.2564,0.2614
w100.oracleGeneral.bin.zst_3645877,0.762,0.8002,0.6601,0.7923,0.8177,0.8457,0.7964,0.7968,0.812,0.802,0.8126,0.7571,0.8286,0.8277,0.7863,0.7948,0.785,0.8131,0.7543
w14.oracleGeneral.bin.zst_34816425,0.7018,0.755,0.5595,0.7568,0.7999,0.8069,0.7613,0.7809,0.7938,0.7627,0.7642,0.685,0.803,0.7851,0.7513,0.7676,0.7211,0.7897,0.7286
w62.oracleGeneral.bin.zst_9497745,0.5476,0.5882,0.5126,0.5995,0.5964,0.6932,0.6379,0.6039,0.5981,0.5883,0.6536,0.5382,0.6016,0.6016,0.5866,0.607,0.5639,0.6138,0.563
w33.oracleGeneral.bin.zst_19868346,0.1223,0.1409,0.0814,0.1405,0.1536,0.18,0.2477,0.2709,0.1651,0.2195,0.2062,0.1339,0.1518,0.1418,0.1239,0.1213,0.1388,0.1263,0.1049
w67.oracleGeneral.bin.zst_9028144,0.2536,0.2702,0.1465,0.2638,0.3059,0.3282,0.3021,0.2859,0.304,0.2504,0.3259,0.2263,0.3145,0.3016,0.2397,0.2328,0.251,0.2514,0.2182
w49.oracleGeneral.bin.zst_11151558,0.513,0.5541,0.385,0.604,0.6362,0.6355,0.6094,0.6064,0.6244,0.5376,0.6554,0.5162,0.6304,0.6135,0.5534,0.5183,0.5294,0.6071,0.4866
w55.oracleGeneral.bin.zst_8855434,0.6723,0.6647,0.6264,0.6681,0.6734,0.6768,0.6849,0.7081,0.6683,0.665,0.7581,0.6728,0.6744,0.6732,0.6659,0.6698,0.6723,0.6761,0.681
w73.oracleGeneral.bin.zst_6368815,0.3192,0.3235,0.2043,0.324,0.3592,0.373,0.3443,0.3218,0.3465,0.3208,0.3634,0.3073,0.3374,0.326,0.3017,0.3004,0.3117,0.3153,0.2803
w89.oracleGeneral.bin.zst_3625918,0.4012,0.3906,0.3517,0.3907,0.3963,0.4301,0.4344,0.4104,0.4041,0.3891,0.4163,0.4063,0.402,0.3949,0.3884,0.3944,0.3953,0.4093,0.4106
w09.oracleGeneral.bin.zst_49622929,0.5944,0.6923,0.4692,0.6746,0.7218,0.7299,0.6679,0.7104,0.7064,0.6999,0.7212,0.5636,0.7265,0.7064,0.6492,0.6578,0.624,0.6796,0.5449
w45.oracleGeneral.bin.zst_15064629,0.0912,0.0967,0.0477,0.0905,0.1003,0.1167,0.1234,0.1238,0.1105,0.105,0.1434,0.0869,0.1014,0.0951,0.0851,0.0827,0.0941,0.0869,0.0752
w90.oracleGeneral.bin.zst_4493515,0.4979,0.5509,0.2442,0.4527,0.5361,0.5404,0.3834,0.5231,0.5213,0.7724,0.3887,0.533,0.5367,0.5365,0.5245,0.5226,0.5694,0.5329,0.3853
w36.oracleGeneral.bin.zst_18915625,0.1267,0.1526,0.0847,0.1481,0.1593,0.1911,0.2525,0.2636,0.1708,0.2084,0.188,0.139,0.1576,0.143,0.1284,0.1247,0.1443,0.1307,0.1108
w05.oracleGeneral.bin.zst_73034546,0.7147,0.8276,0.4542,0.7156,0.8583,0.8836,0.7334,0.8121,0.8631,0.8066,0.734,0.6391,0.8782,0.8754,0.7408,0.7438,0.7025,0.7801,0.6682
w43.oracleGeneral.bin.zst_15617420,0.4326,0.4832,0.3254,0.4864,0.5309,0.5731,0.5312,0.5249,0.513,0.6426,0.5386,0.4449,0.5366,0.5203,0.4706,0.4791,0.5087,0.4724,0.4983
w04.oracleGeneral.bin.zst_77764582,0.593,0.6481,0.4374,0.6329,0.6363,0.6215,0.6123,0.6281,0.6303,0.6448,0.6047,0.5726,0.643,0.6298,0.5977,0.5909,0.5866,0.5944,0.5324
w07.oracleGeneral.bin.zst_67427405,0.4006,0.4141,0.3171,0.4362,0.4549,0.4901,0.4669,0.4205,0.4533,0.3831,0.4481,0.4057,0.4606,0.4448,0.397,0.3999,0.4157,0.4247,0.3982
w92.oracleGeneral.bin.zst_4284658,0.815,0.9445,0.7928,0.9446,0.9566,0.957,0.9427,0.9304,0.9565,0.9447,0.8593,0.8037,0.9569,0.9569,0.9443,0.9523,0.8393,0.9568,0.8165
w74.oracleGeneral.bin.zst_6343762,0.2794,0.2926,0.1574,0.2803,0.3359,0.3605,0.3546,0.3232,0.3397,0.2955,0.3628,0.252,0.3583,0.3207,0.2727,0.2666,0.2785,0.2672,0.2531
w11.oracleGeneral.bin.zst_46173369,0.3234,0.341,0.1642,0.3164,0.3175,0.3487,0.3624,0.4284,0.3543,0.6722,0.5486,0.3448,0.3203,0.312,0.3169,0.3224,0.3251,0.3219,0.3815
w29.oracleGeneral.bin.zst_19087784,0.3815,0.3927,0.3221,0.3986,0.4228,0.4314,0.4048,0.3808,0.4121,0.455,0.4584,0.3876,0.4255,0.4186,0.3821,0.3945,0.3979,0.408,0.4146
w69.oracleGeneral.bin.zst_7874006,0.3336,0.3331,0.2341,0.3469,0.3704,0.4325,0.392,0.3786,0.367,0.3466,0.4532,0.3281,0.3826,0.3778,0.3338,0.3305,0.3349,0.3291,0.3427
w95.oracleGeneral.bin.zst_3937240,0.2812,0.2889,0.1918,0.2991,0.3104,0.3543,0.3328,0.3228,0.3161,0.2883,0.3781,0.269,0.3187,0.3169,0.2823,0.2889,0.286,0.2929,0.273
w82.oracleGeneral.bin.zst_4926610,0.4524,0.6483,0.2589,0.5704,0.6292,0.6568,0.4755,0.4202,0.5896,0.5601,0.4527,0.3339,0.6508,0.6281,0.466,0.4657,0.4111,0.4258,0.3522
w48.oracleGeneral.bin.zst_14097008,0.7532,0.8076,0.6225,0.7416,0.8245,0.8251,0.768,0.7868,0.8204,0.7614,0.7597,0.7382,0.8236,0.8227,0.7405,0.7626,0.7274,0.7946,0.6902
w47.oracleGeneral.bin.zst_14314717,0.1279,0.1326,0.0651,0.1208,0.1403,0.1543,0.1614,0.158,0.1473,0.1418,0.1715,0.1208,0.1362,0.1373,0.1211,0.1163,0.1314,0.1204,0.1069
w61.oracleGeneral.bin.zst_9884691,0.4452,0.4729,0.3449,0.4833,0.5218,0.5436,0.5552,0.5113,0.535,0.5232,0.61,0.4704,0.5268,0.5222,0.4381,0.4391,0.4578,0.4717,0.4466
w56.oracleGeneral.bin.zst_10899629,0.2723,0.2682,0.1715,0.2726,0.2856,0.319,0.3064,0.3012,0.2874,0.2888,0.3382,0.2695,0.2916,0.2809,0.2694,0.2703,0.2791,0.2813,0.2772
w77.oracleGeneral.bin.zst_5616402,0.3236,0.3202,0.2232,0.3462,0.3969,0.4392,0.4949,0.4865,0.4146,0.3824,0.5143,0.2984,0.3725,0.3615,0.3177,0.313,0.3586,0.3472,0.2956
w57.oracleGeneral.bin.zst_10554725,0.2422,0.2443,0.1587,0.2448,0.2675,0.3111,0.2933,0.2682,0.2704,0.276,0.3145,0.2396,0.2764,0.2567,0.2394,0.2392,0.249,0.2568,0.2463
w104.oracleGeneral.bin.zst_3395553,0.8804,0.8349,0.7857,0.8419,0.8399,0.847,0.8601,0.8677,0.842,0.8349,0.858,0.8928,0.8404,0.8396,0.8348,0.8388,0.8626,0.8464,0.8427
w96.oracleGeneral.bin.zst_3787344,0.3532,0.372,0.2468,0.3748,0.3888,0.4313,0.4008,0.3732,0.3846,0.429,0.4361,0.3678,0.4121,0.4016,0.3519,0.3543,0.3538,0.3626,0.3985
w01.oracleGeneral.bin.zst_215796257,0.6942,0.7231,0.602,0.7235,0.7434,0.7542,0.7174,0.7206,0.7402,0.7233,0.7051,0.6838,0.7515,0.751,0.7232,0.7476,0.7093,0.7506,0.7016
w53.oracleGeneral.bin.zst_8973978,0.8684,0.8753,0.7552,0.8835,0.8797,0.8843,0.8798,0.8762,0.8821,0.8754,0.8824,0.8626,0.882,0.8819,0.875,0.8796,0.8695,0.8823,0.8605
w12.oracleGeneral.bin.zst_45355529,0.0463,0.0472,0.0366,0.048,0.0505,0.0615,0.0574,0.0528,0.0554,0.0533,0.0564,0.0464,0.0516,0.0491,0.0455,0.0468,0.0481,0.0493,0.0477
